iter	Passed	Remaining
1223	87925	127578
1224	87962	127455
1225	88016	127358
1226	88050	127232
1227	88090	127114
1228	88127	126993
1229	88161	126865
1230	88196	126742
1231	88242	126634
1232	88276	126507
1233	88310	126382
1234	88343	126256
1235	88380	126135
1236	88415	126011
1237	88452	125890
1238	88487	125767
1239	88526	125650
1240	88565	125533
1241	88600	125411
1242	88640	125294
1243	88673	125169
1244	88707	125045
1245	88747	124930
1246	88791	124820
1247	88828	124701
1248	88874	124594
1249	88914	124480
1250	88950	124359
1251	88985	124237
1252	89018	124114
1253	89058	123999
1254	89100	123888
1255	89156	123797
1256	89198	123686
1257	89235	123568
1258	89270	123447
1259	89309	123331
1260	89343	123210
1261	89377	123089
1262	89411	122967
1263	89445	122845
1264	89488	122736
1265	89554	122660
1266	89607	122565
1267	89658	122466
1268	89704	122362
1269	89756	122266
1270	89800	122159
1271	89850	122061
1272	89894	121953
1273	89942	121852
1274	89982	121741
1275	90020	121627
1276	90079	121540
1277	90126	121438
1278	90183	121349
1279	90224	121238
1280	90269	121134
1281	90321	121039
1282	90376	120948
1283	90423	120846
1284	90473	120748
1285	90527	120656
1286	90574	120555
1287	90620	120452
1288	90664	120347
1289	90706	120239
1290	90745	120127
1291	90790	120023
1292	90843	119930
1293	90885	119822
1294	90938	119729
1295	90981	119624
1296	91019	119511
1297	91062	119405
1298	91109	119304
1299	91151	119198
1300	91197	119096
1301	91243	118995
1302	91289	118893
1303	91331	118787
1304	91373	118680
1305	91417	118576
1306	91463	118475
1307	91511	118377
1308	91557	118276
1309	91601	118173
1310	91643	118066
1311	91685	117961
1312	91731	117860
1313	91779	117762
1314	91827	117664
1315	91876	117567
1316	91928	117476
1317	91970	117370
1318	92011	117263
1319	92052	117157
1320	92103	117063
1321	92145	116959
1322	92192	116860
1323	92234	116755
1324	92286	116663
1325	92330	116562
1326	92371	116456
1327	92410	116348
1328	92447	116237
1329	92488	116131
1330	92526	116023
1331	92562	115911
1332	92599	115801
1333	92635	115690
1334	92678	115587
1335	92725	115489
1336	92761	115379
1337	92802	115275
1338	92846	115174
1339	92888	115070
1340	92928	114965
1341	92970	114861
1342	93009	114755
1343	93047	114647
1344	93085	114540
1345	93126	114436
1346	93168	114333
1347	93206	114226
1348	93242	114116
1349	93277	114005
1350	93316	113899
1351	93348	113785
1352	93381	113672
1353	93421	113568
1354	93455	113457
1355	93497	113355
1356	93536	113250
1357	93573	113142
1358	93613	113038
1359	93647	112928
1360	93684	112820
1361	93725	112717
1362	93765	112614
1363	93800	112505
1364	93842	112405
1365	93942	112373
1366	94058	112360
1367	94150	112320
1368	94245	112282
1369	94349	112254
1370	94443	112216
1371	94537	112176
1372	94634	112141
1373	94739	112115
1374	94835	112077
1375	94891	111994
1376	95001	111973
1377	95097	111935
1378	95189	111893
1379	95280	111851
1380	95370	111806
1381	95469	111772
1382	95569	111739
1383	95680	111719
1384	95773	111677
1385	95867	111638
1386	95962	111599
1387	96067	111570
1388	96174	111546
1389	96275	111513
1390	96383	111489
1391	96498	111472
1392	96598	111438
1393	96695	111401
1394	96805	111378
1395	96905	111344
1396	97005	111309
1397	97105	111275
1398	97208	111243
1399	97305	111206
1400	97406	111172
1401	97503	111134
1402	97609	111106
1403	97703	111065
1404	97803	111030
1405	97905	110996
1406	98013	110970
1407	98118	110941
1408	98222	110910
1409	98333	110886
1410	98436	110854
1411	98537	110820
1412	98646	110794
1413	98806	110825
1414	98927	110812
1415	99032	110782
1416	99126	110739
1417	99224	110700
1418	99330	110670
1419	99434	110638
1420	99547	110616
1421	99650	110582
1422	99749	110544
1423	99861	110520
1424	99967	110490
1425	100069	110454
1426	100178	110428
1427	100282	110395
1428	100388	110364
1429	100495	110334
1430	100594	110295
1431	100694	110257
1432	100800	110226
1433	100899	110186
1434	100995	110144
1435	101106	110119
1436	101200	110074
1437	101307	110043
1438	101399	109996
1439	101506	109965
1440	101643	109967
1441	101764	109950
1442	101907	109958
1443	102043	109958
1444	102140	109916
1445	102260	109898
1446	102374	109873
1447	102487	109848
1448	102602	109825
1449	102708	109791
1450	102805	109748
1451	102912	109716
1452	103018	109682
1453	103132	109657
1454	103241	109627
1455	103342	109588
1456	103457	109564
1457	103578	109546
1458	103694	109522
1459	103817	109505
1460	103934	109483
1461	104050	109459
1462	104173	109442
1463	104288	109416
1464	104397	109386
1465	104512	109360
1466	104633	109341
